,TITLE,ASSIGNMENT,RACE/ETHNICITY,AGE,YEARS_IN_SERVICE,DEGREE,CITY_RESIDENT?,AGENCY,FIRST_NAME,LAST_NAME,EMAIL,GENDER,IP_ADDRESS
0,POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,42.0,7.0,HGH SCHOOL GRADUATE,YES,BPD,Nat,Bilsland,nbilsland1@fda.gov,FEMALE,61.238.184.75
1,POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,51.0,15.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Myrlene,Antoniutti,mantoniutti4@smugmug.com,FEMALE,19.38.52.95
2,POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,44.0,15.0,HGH SCHOOL GRADUATE,NO,BPD,Kellie,Runacres,krunacres5@unicef.org,FEMALE,98.182.132.18
3,POLICE OFFICER,ADULT/JUVENILE BOOKING,AFRICAN AMERICAN,41.0,19.0,1 YEAR COLLEGE OR LESS,NO,BPD,Naoma,Losemann,nlosemann6@umich.edu,FEMALE,80.0.24.91
4,POLICE OFFICER,ANALYTICAL INTELLIGENCE SEC,AFRICAN AMERICAN,41.0,18.0,2 YEARS COLLEGE; NO A. A.,NO,BPD,Cinda,Parlott,cparlotta@histats.com,FEMALE,195.64.119.229
5,POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,38.0,14.0,HGH SCHOOL GRADUATE,NO,BPD,Vivyanne,Free,vfreeb@berkeley.edu,FEMALE,150.108.134.55
6,POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,51.0,31.0,1 YEAR COLLEGE OR LESS,NO,BPD,Jessamyn,Butchard,jbutchardd@slideshare.net,FEMALE,158.117.144.126
7,POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,28.0,5.0,HGH SCHOOL GRADUATE,NO,BPD,Robby,Chartman,rchartmane@geocities.com,FEMALE,148.60.121.250
8,POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,29.0,9.0,HGH SCHOOL GRADUATE,NO,BPD,Kati,Tockell,ktockellh@ed.gov,FEMALE,74.41.194.61
9,POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,52.0,27.0,1 YEAR COLLEGE OR LESS,NO,BPD,Arlyne,Fieldhouse,afieldhousej@gov.uk,FEMALE,220.254.88.17
10,POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,30.0,9.0,HGH SCHOOL GRADUATE,NO,BPD,Tania,Rene,trenel@slate.com,FEMALE,54.222.17.228
11,POLICE OFFICER,CENTRAL DISTRICT,WHITE,35.0,10.0,1 YEAR COLLEGE OR LESS,YES,BPD,Claudette,Hamnet,chamnetn@shinystat.com,FEMALE,173.205.234.196
12,POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,34.0,9.0,HGH SCHOOL GRADUATE,NO,BPD,Goldi,Pound,gpoundu@tripadvisor.com,FEMALE,241.163.209.55
13,POLICE OFFICER,CENTRAL DISTRICT,WHITE,39.0,17.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Wenda,Pidgeley,wpidgeleyv@over-blog.com,FEMALE,0.103.226.42
14,POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,29.0,8.0,1 YEAR COLLEGE OR LESS,NO,BPD,Joete,Pallent,jpallentx@microsoft.com,FEMALE,174.48.81.24
15,POLICE OFFICER,CENTRAL DISTRICT,AFRICAN AMERICAN,28.0,10.0,HGH SCHOOL GRADUATE,NO,BPD,Enrika,Coathup,ecoathupy@bing.com,FEMALE,239.160.153.11
16,POLICE SERGEANT,CENTRAL DISTRICT,AFRICAN AMERICAN,43.0,8.0,2 YEARS COLLEGE; NO A. A.,NO,BPD,Wren,Nicholson,wnicholson11@sfgate.com,FEMALE,21.160.189.167
17,POLICE SERGEANT,CENTRAL DISTRICT,WHITE,57.0,24.0,1 YEAR COLLEGE OR LESS,NO,BPD,Lilla,Killingsworth,lkillingsworth12@github.io,FEMALE,165.105.111.245
18,POLICE SERGEANT,COMMUNICATIONS UNIT,WHITE,33.0,8.0,B.A. OR B.S. COMPLETED & RECEIVED,NO,BPD,Rosy,Phillps,rphillps13@opera.com,FEMALE,161.123.149.192
19,POLICE SERGEANT,COMMUNICATIONS UNIT,AFRICAN AMERICAN,44.0,18.0,1 YEAR COLLEGE OR LESS,NO,BPD,Addie,Tansley,atansley17@google.com.hk,FEMALE,94.11.123.125
20,POLICE SERGEANT,COMMUNICATIONS UNIT,WHITE,52.0,25.0,1 YEAR COLLEGE OR LESS,NO,BPD,Krista,Feilden,kfeilden19@auda.org.au,FEMALE,197.85.149.102
21,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,55.0,7.0,HGH SCHOOL GRADUATE,YES,BPD,Evelina,Brackenridge,ebrackenridge1b@bandcamp.com,FEMALE,20.134.77.15
22,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,39.0,13.0,1 YEAR COLLEGE OR LESS,NO,BPD,Amalee,Humber,ahumber1c@tiny.cc,FEMALE,227.64.96.177
23,POLICE OFFICER,COMMUNITY PARTNERSHIPS DIV,AFRICAN AMERICAN,55.0,22.0,HGH SCHOOL GRADUATE,YES,BPD,Gay,Ravillas,gravillas1e@example.com,FEMALE,210.163.202.223
